key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.537515,-0.0128,-0.3192,1,0,0,9.509905,cont1,-0.0064,-0.316,1,0,0,5.187365,stop_stud,0,0,0,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0064,-0.316,1,0,0,1.17856,stop_stud,0,1,1,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,1.481485,stop_stud,0,2,2,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,0.999315,stop_stud,0,3,3,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,0.847225,stop_stud,0,4,4,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,0.968205,stop_stud,0,5,5,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,0.962935,stop_stud,0,6,6,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0048,-0.324,1,0,0,0.730705,stop_stud,0,7,7,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.324,1,0,0,0.816665,stop_stud,0,8,8,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.324,1,0,0,0.749355,stop_stud,0,9,9,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.324,1,0,0,0.6991,stop_stud,0,10,10,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3256,1,0,0,0.6493,stop_stud,0,11,11,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.663915,stop_stud,0,12,12,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.63074,stop_stud,0,13,13,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.65139,stop_stud,0,14,14,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.699305,stop_stud,0,15,15,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.629705,stop_stud,0,16,16,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.78257,stop_stud,0,17,17,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.799935,stop_stud,0,18,18,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.6613,stop_stud,0,19,19,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.83051,stop_stud,0,20,20,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.70089,stop_stud,0,21,21,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.680415,stop_stud,0,22,22,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.0032,-0.3272,1,0,0,0.662775,stop_stud,0,23,23,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,49.68,0.09007,71.92,8.49159,0.0064,-0.4344,1,0,0,12.305765,polygon,student,0.0096,-0.0104,1,0,0,0.973675,polygon_2,1,college,0,0,0,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,country,0.0192,0.0104,1,0,0,1.29403,polygon_2,1,nation,0,1,1,9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,plane,0.0048,-0.0312,1,0,0,1.112695,polygon_2,1,train,0,2,2,23,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,parent,0.0032,0.0072,1,0,0,1.279275,polygon_2,1,child,0,3,3,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,brush,0.0368,-0.0088,1,0,0,2.345915,polygon_2,1,paint,0,4,4,14,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,0.0064,-0.3032,1,0,0,1.577735,polygon_2,1,people,0,5,5,15,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,0.0064,-0.3032,1,0,0,2.777185,polygon_2,1,object,0,6,6,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,dollar,-0.0128,-0.0168,1,0,0,1.176805,polygon_2,1,quarter,0,7,7,16,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,smell,0,-0.0088,1,0,0,1.52939,polygon_2,1,taste,0,8,8,21,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,-0.0096,-0.3176,1,0,0,1.26,polygon_2,1,stick,0,9,9,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,american,-0.0096,-0.0296,1,0,0,1.41452,polygon_2,1,native,0,10,10,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,right,-0.0544,-0.0248,1,0,0,4.26208,polygon_2,1,angle,0,11,11,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,0.0016,-0.3352,1,0,0,1.7598,polygon_2,1,curve,0,12,12,4,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,Cole,A2XS49LRNX8PD4,31,yes,2020-12-28_15h16.27.656,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,0.0064,-0.3144,1,0,0,1.062005,polygon_2,1,report,0,13,13,18,1,,,,,,,
