key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,3.05607,0.013319209,-0.318763341,1,0,0,8.123825,cont1,0.013319209,-0.318763341,1,0,0,1.45731,stop_stud,0,0,0,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013319209,-0.318763341,1,0,0,2.26205,stop_stud,0,1,1,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013319209,-0.318763341,1,0,0,1.444955,stop_stud,0,2,2,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013319209,-0.318763341,1,0,0,1.301795,stop_stud,0,3,3,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013319209,-0.318763341,1,0,0,1.1979,stop_stud,0,4,4,8,1,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.013319209,-0.318763341,1,0,0,1.19664,stop_stud,0,5,5,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000847043,-0.318763341,1,0,0,1.06025,stop_stud,0,6,6,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000847043,-0.318763341,1,0,0,0.975325,stop_stud,0,7,7,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000847043,-0.318763341,1,0,0,1.084645,stop_stud,0,8,8,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000847043,-0.318763341,1,0,0,1.00777,stop_stud,0,9,9,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,ashley,A10Q4U3BRHXXPP,25,yes,2020-12-29_21h51.07.830,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
