key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,2.243,0.015151515,-0.320855615,1,0,0,2.828,cont1,0.006238859,-0.321746881,1,0,0,4.461,stop_stud,0,0,0,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.006238859,-0.321746881,1,0,0,3.015,stop_stud,0,1,1,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.005347594,-0.309269162,1,0,0,2.998,stop_stud,0,2,2,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.004456328,-0.309269162,1,0,0,2.251,stop_stud,0,3,3,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.004456328,-0.309269162,1,0,0,4.167,stop_stud,0,4,4,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002673797,-0.301247772,1,0,0,3.583,stop_stud,0,5,5,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.002673797,-0.301247772,1,0,0,2.349,stop_stud,0,6,6,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000891266,-0.315508021,1,0,0,4.05,stop_stud,0,7,7,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000891266,-0.315508021,1,0,0,2.431,stop_stud,0,8,8,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000891266,-0.315508021,1,0,0,2.517,stop_stud,0,9,9,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,marcia,A3TD4VJPN33IWZ,63,yes,2020-12-29_22h55.22.283,weird_font_low_1,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
