key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,turkid,Age,Did you learn English before the age of 4?,date,expName,psychopyVersion,OS,frameRate,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,1.93183,0.0032,-0.3368,1,0,0,1.979435,cont1,0.008,-0.3416,1,0,0,43.933775,stop_stud,0,0,0,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0224,-0.3304,1,0,0,4.008155,stop_stud,0,1,1,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0144,-0.316,1,0,0,12.172935,stop_stud,0,2,2,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0096,-0.3208,1,0,0,3.76388,stop_stud,0,3,3,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0048,-0.3192,1,0,0,2.757775,stop_stud,0,4,4,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0048,-0.3192,1,0,0,2.69383,stop_stud,0,5,5,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0288,-0.3272,1,0,0,2.137625,stop_stud,0,6,6,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0176,-0.3128,1,0,0,2.329265,stop_stud,0,7,7,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0208,-0.3128,1,0,0,3.11075,stop_stud,0,8,8,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0144,-0.3128,1,0,0,2.08891,stop_stud,0,9,9,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,randal,A3Q4IMJ0LCLNPY,41,YES,2020-12-28_11h57.05.241,weird_font_low_1,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
